communityId,unitType,unitCategory,unitNumber,status,available,moveout,priorRent,sf,pmsUnitType,offset,amenities,amenityAmount,leaseTerm,baseRent,totalConcession,effectiveRent
571a64f83004565451453b79,2X1 ,2X1,22-4,Vacant Ready,4/22/16,12/16/15,1335,937,192.b1r,0," End Unit, Premium Renovation 2x1BD, View-Partial",280,11,1670,0,1670
571a64f83004565451453b79,2X1 ,2X1,17-6,On Notice,4/28/16,4/18/16,1426,937,192.b1r,0," End Unit, Premium Renovation 2x1BD, Subterrain 1, View-Partial",255,10,1645,0,1645
571a64f83004565451453b79,2X1 ,2X1,32-8,On Notice,5/4/16,4/24/16,1450,937,192.b1r,0," End Unit, Premium Renovation 2x1BD, Top Floor, View-Golf Course, View-Wetland/Marsh",345,10,1735,0,1735
571a64f83004565451453b79,2X1 ,2X1,13-7,On Notice,5/13/16,5/3/16,2070,937,192.b1r,0," End Unit, Premium Renovation 2x1BD, View-Wetland/Marsh",310,10,1700,0,1700
571a64f83004565451453b79,2X1 ,2X1,32-6,On Notice,5/25/16,5/15/16,1365,937,192.b1r,0," End Unit, Premium Renovation 2X1BD, Subterrain 1, View-Golf Course, View-Wetland/Marsh",305,10,1695,0,1695
571a64f83004565451453b79,2X1 ,2X1,15-8,Vacant Unavailable,5/27/16,2/17/16,1720,937,192.b1r,0," End Unit, Premium Renovation 2x1BD, Top Floor, View",315,10,1705,0,1705
571a64f83004565451453b79,2X1 ,2X1,25-1,On Notice,5/28/16,5/18/16,1319,937,192.b1r,0," End Unit, Premium Renovation 2x1BD",270,10,1660,0,1660
571a64f83004565451453b79,2X1 ,2X1,36-6,On Notice,7/1/16,6/21/16,1410,937,192.b1r,0," End Unit, Premium Renovation 2X1BD, Subterrain 1, View",275,12,1665,0,1665
571a64f83004565451453b79,2X2 ,2X2,,,,,,,,,,,,,,
571a64f83004565451453b79,2X2 ,2X2,1-Apr,Vacant Unavailable,4/22/16,4/10/16,1370,961,192.c1r,0," End Unit, Premium Renovation 2BD, Subterrain 2",260,12,1645,0,1645
571a64f83004565451453b79,2X2 ,2X2,14-3,Vacant Ready,4/22/16,2/1/16,1205,961,192.c1r,0," End Unit, Premium Renovation 2BD, Top Floor, View-Wetland/Marsh",365,12,1750,0,1750
571a64f83004565451453b79,2X2 ,2X2,17-2,Vacant Ready,4/22/16,1/12/16,1345,961,192.c1r,0," End Unit, Premium Renovation 2BD, View",340,12,1725,0,1725
571a64f83004565451453b79,2X2 ,2X2,19-2,Vacant Unavailable,4/22/16,3/20/16,1335,961,192.c1r,0," End Unit, Premium Renovation 2BD, View-Wetland/Marsh",350,12,1735,0,1735
571a64f83004565451453b79,2X2 ,2X2,19-3,Vacant Unavailable,4/22/16,2/29/16,1560,961,192.c1r,0," End Unit, Premium Renovation 2BD, Top Floor, View-Wetland/Marsh",365,12,1750,0,1750
571a64f83004565451453b79,2X2 ,2X2,21-3,Vacant Unavailable,4/22/16,3/5/16,1352,961,192.c1r,0," End Unit, Premium Renovation 2BD, Top Floor, View",355,12,1740,0,1740
571a64f83004565451453b79,2X2 ,2X2,25-2,Vacant Unavailable,4/22/16,1/22/16,1811,961,192.c1r,0," End Unit, Premium Renovation 2BD, Top Floor",325,12,1710,0,1710
571a64f83004565451453b79,2X2 ,2X2,29-1,On Notice,5/19/16,5/9/16,1495,961,192.c1r,0," End Unit, Premium Renovation 2BD, View-Wetland/Marsh",350,12,1735,0,1735
571a64f83004565451453b79,2X2 ,2X2,18-1,On Notice,5/28/16,5/18/16,1550,961,192.c1r,0," End Unit, Premium Renovation 2BD, Subterrain 2, View-Wetland/Marsh",300,12,1685,0,1685
571a64f83004565451453b79,2X2 ,2X2,23-2,On Notice,6/7/16,5/28/16,1553,961,192.c1r,0," End Unit, Premium Renovation 2BD, Top Floor",325,11,1710,0,1710
571a64f83004565451453b79,2X2 ,2X2,34-2,On Notice,6/10/16,5/31/16,1480,961,192.c1r,0," End Unit, Premium Renovation 2BD, Top Floor, View-Partial",335,11,1720,0,1720
571a64f83004565451453b79,2X2.5 ,2X2.5,,,,,,,,,,,,,,
571a64f83004565451453b79,2X2.5 ,2X2.5,4-Jan,Vacant Unavailable,4/22/16,2/29/16,1730,1170,192.c3r,0," c3 - 2x2.5 Clydesdale, Parking - Garage, Premium Renovation 2BD, View",410,11,2170,0,2170
571a64f83004565451453b79,2X2.5 ,2X2.5,5-Jun,Vacant Unavailable,4/22/16,2/1/16,1812,1170,192.c3r,0," c3 - 2x2.5 Clydesdale, Parking - Garage, Premium Renovation 2BD, View-Partial",390,11,2150,0,2150
571a64f83004565451453b79,2X2.5 ,2X2.5,15-4,Vacant Unavailable,4/22/16,2/29/16,1675,1158,192.c2r,0," c2 - 2x2.5 Buckley, Premium Renovation 2BD, View-Partial",305,11,2065,0,2065
571a64f83004565451453b79,2X2.5 ,2X2.5,30-3,Vacant Ready,4/22/16,2/17/16,1342,1158,192.c2r,0," c2 - 2x2.5 Buckley, Premium Renovation 2BD, View-Wetland/Marsh",335,11,2095,0,2095
571a64f83004565451453b79,2X2.5 ,2X2.5,37-4,Vacant Unavailable,4/22/16,2/27/16,2030,1158,192.c2r,0," c2 - 2x2.5 Buckley, Premium Renovation 2BD, View",325,11,2085,0,2085
571a64f83004565451453b79,2X2.5 ,2X2.5,4-Jun,On Notice,5/3/16,4/23/16,1445,1170,192.c3r,0," c3 - 2x2.5 Clydesdale, Parking - Garage, Premium Renovation 2BD, View-Partial",390,11,2200,0,2200
571a64f83004565451453b79,2X2.5 ,2X2.5,28-3,On Notice,5/8/16,4/28/16,1630,1158,192.c2r,0," c2 - 2x2.5 Buckley, Premium Renovation 2BD, View",325,11,2135,0,2135
571a64f83004565451453b79,2X2.5 ,2X2.5,40-3,On Notice,6/10/16,5/31/16,1685,1158,192.c2r,0," c2 - 2x2.5 Buckley, Premium Renovation 2BD, View",325,10,2125,0,2125
571a64f83004565451453b79,3X2 ,3X2,,,,,,,,,,,,,,
571a64f83004565451453b79,3X2 ,3X2,27-2,Vacant Ready,4/22/16,12/30/15,1920,1368,192.d1r,0," Premium Renovation 3BD, View",340,12,2355,0,2355
571a64f83004565451453b79,3X2 ,3X2,41-5,Vacant Unavailable,4/22/16,1/26/16,1978,1368,192.d1r,0," Premium Renovation 3BD, View",340,12,2355,0,2355
571a64f73004565451453b6e,1X1 ,1X1,,,,,,,,,,,,,,
571a64f73004565451453b6e,1X1 ,1X1,04-104,Vacant Ready,4/22/16,2/9/16,1510,702,172.a1r,0," 1st Floor, Renovated 1 BD",140,11,1325,0,1325
571a64f73004565451453b6e,1X1 ,1X1,04-106,Vacant Ready,4/22/16,12/28/15,1275,702,172.a1r,0," 1st Floor, Renovated 1 BD",140,11,1325,0,1325
571a64f73004565451453b6e,1X1 ,1X1,01-209,On Notice,5/29/16,5/19/16,1270,702,172.a1,0,,0,10,1250,0,1250
571a64f73004565451453b6e,1X1 ,1X1,01-308,On Notice,6/15/16,6/5/16,1100,702,172.a1,0,,0,10,1235,0,1235
571a64f73004565451453b6e,2X1 ,2X1,,,,,,,,,,,,,,
571a64f73004565451453b6e,2X1 ,2X1,01-301,Vacant Ready,4/22/16,3/22/16,1275,978,172.b1,0,,0,11,1315,0,1315
571a64f73004565451453b6e,2X1 ,2X1,03-302,Vacant Ready,4/22/16,2/28/16,1435,978,172.b1,0,,0,11,1315,0,1315
571a64f73004565451453b6e,2X1 ,2X1,04-201,Vacant Ready,4/22/16,10/27/15,1360,978,172.b1r,0, Renovated 2 BD,135,11,1450,0,1450
571a64f73004565451453b6e,2X1 ,2X1,02-301,On Notice,5/28/16,5/18/16,1320,978,172.b1,0,,0,10,1375,0,1375
571a64f73004565451453b6e,2X1 ,2X1,05-202,On Notice,6/14/16,6/4/16,1540,978,172.b1r,0, Renovated 2 BD,135,11,1510,0,1510
571a64f73004565451453b6e,2X2 ,2X2,,,,,,,,,,,,,,
571a64f73004565451453b6e,2X2 ,2X2,02-209,Vacant Ready,4/22/16,3/22/16,1520,1000,172.b2r,0, Renovated 2 BD,145,11,1490,0,1490
571a64f73004565451453b6e,2X2 ,2X2,03-309,Vacant Unavailable,4/22/16,3/18/16,1265,1000,172.b2,0,,0,11,1345,0,1345
571a64f73004565451453b6e,2X2 ,2X2,04-308,Vacant Unavailable,4/22/16,4/3/16,1315,1000,172.b2,0,,0,11,1345,0,1345
571a64f73004565451453b6e,2X2 ,2X2,02-210,On Notice,5/31/16,5/21/16,1315,1000,172.b2,0,,0,10,1405,0,1405
571a64f73004565451453b6e,2X2 ,2X2,03-209,On Notice,6/24/16,6/14/16,1565,1000,172.b2r,0, Renovated 2 BD,145,11,1500,0,1500
571a64f73004565451453b6e,2X2 ,2X2,05-208,On Notice,6/24/16,6/14/16,1410,1000,172.b2,0,,0,11,1355,0,1355
571a64f73004565451453b6e,2X2 ,2X2,01-312,On Notice,7/1/16,6/21/16,1375,1000,172.b2,0,,0,11,1335,0,1335
571a64f73004565451453b6e,2X2 ,2X2,02-310,On Notice,7/3/16,6/23/16,1575,1000,172.b2r,0, Renovated 2 BD,145,11,1480,0,1480
571a64f73004565451453b6e,3X2 ,3X2,,,,,,,,,,,,,,
571a64f73004565451453b6e,3X2 ,3X2,01-115,Vacant Ready,4/22/16,12/7/15,1610,1200,172.c1,0, 1st Floor,10,11,1675,0,1675
571a64f73004565451453b6e,3X2 ,3X2,04-212,On Notice,5/20/16,5/10/16,1805,1200,172.c1,0,,0,12,1710,0,1710
571a64f73004565451453b6e,3X2 ,3X2,03-111,On Notice,5/28/16,5/19/16,1650,1200,172.c1,0, 1st Floor,10,12,1735,0,1735
571a64f73004565451453b6e,3X2 ,3X2,05-311,On Notice,5/28/16,5/19/16,1715,1200,172.c1,0,,0,12,1725,0,1725
571a64f73004565451453b6e,3X2 ,3X2,04-111,On Notice,6/9/16,5/30/16,1802,1200,172.c1,0,,0,11,1745,0,1745
571a64f73004565451453b6e,3X2 ,3X2,05-312,On Notice,6/25/16,6/15/16,1785,1200,172.c1,0,,0,11,1730,0,1730
571a64f73004565451453b6f,1X1 ,1X1,,,,,,,,,,,,,,
571a64f73004565451453b6f,1X1 ,1X1,C304,On Notice,5/7/16,4/27/16,975,729,178.a1,0, a1 - The Ascot Classic Adjustm,0,12,1240,0,1240
571a64f73004565451453b6f,1X1 ,1X1,D109,On Notice,6/28/16,6/18/16,1015,729,178.a1r,0," 1st Floor, a1r - The Ascot Reno",0,11,1260,0,1260
571a64f73004565451453b6f,1X1A ,1X1,,,,,,,,,,,,,,
571a64f73004565451453b6f,1X1A ,1X1,H207,Vacant Ready,4/22/16,3/29/16,1215,804,178.a3,0," 2nd Floor, a3 - The Chadwick Classic Adj",25,10,1260,0,1260
571a64f73004565451453b6f,1X1A ,1X1,J203,Vacant Ready,4/22/16,3/19/16,1090,755,178.a2r,0, a2r - The Buckingham Reno Adj,0,10,1235,0,1235
571a64f73004565451453b6f,1X1A ,1X1,J204,On Notice,5/5/16,4/25/16,1083,755,178.a2,0," a2 - The Buckingham Classic Ad, View- Greenbelt",0,12,1245,0,1245
571a64f73004565451453b6f,1X1A ,1X1,J304,On Notice,5/31/16,5/21/16,1180,755,178.a2r,0," a2r - The Buckingham Reno Adj, View- Greenbelt",0,12,1260,0,1260
571a64f73004565451453b6f,1X1A ,1X1,B305,On Notice,7/10/16,6/30/16,1298,755,178.a2r,0," a2 - The Buckingham Classic Ad, Renovated 1 BD",0,11,1255,0,1255
571a64f73004565451453b6f,1X1A ,1X1,J206,On Notice,7/13/16,7/3/16,1130,755,178.a2r,0," a2r - The Buckingham Reno Adj, View- Greenbelt",0,11,1255,0,1255
571a64f73004565451453b6f,2X1.5 ,2X1.5,,,,,,,,,,,,,,
571a64f73004565451453b6f,2X1.5 ,2X1.5,G209,Vacant Unavailable,4/29/16,4/19/16,1280,1001,178.b1r,0, b1r - The Devonshire Reno Adj,0,11,1455,0,1455
571a64f73004565451453b6f,2X1.5 ,2X1.5,D204,On Notice,6/7/16,5/28/16,1556,1001,178.b1r,0, b1r - The Devonshire Reno Adj,0,12,1490,0,1490
571a64f73004565451453b6f,2X1.5 ,2X1.5,G110,On Notice,7/10/16,6/30/16,1167,1001,178.b1,0," 1st Floor, b1 - The Devonshire Classic Ad, View- Greenbelt",0,11,1480,0,1480
571a64f73004565451453b6f,2X2 ,2X2,,,,,,,,,,,,,,
571a64f73004565451453b6f,2X2 ,2X2,D307,Vacant Ready,4/22/16,3/9/16,1295,1112,178.b2r,0, b2r - The Edinburgh Reno,0,12,1545,0,1545
571a64f73004565451453b6f,2X2 ,2X2,G207,On Notice,5/30/16,5/20/16,1398,1112,178.b2r,0, b2r - The Edinburgh Reno,0,10,1580,0,1580
571a64f73004565451453b6f,2X2A ,2X2,,,,,,,,,,,,,,
571a64f73004565451453b6f,2X2A ,2X2,E201,Vacant Ready,4/22/16,2/29/16,1460,1191,178.b3r,0," 2nd Floor, b3 - The Fairgate Classic Adj, Private Entry, Renovated 2 BD",5,12,1505,0,1505
571a64f73004565451453b6f,2X2A ,2X2,G201,Vacant Ready,4/22/16,4/1/16,1515,1191,178.b3r,0," 2nd Floor, b3r - The Fairgate Reno Adj, Private Entry",5,12,1505,0,1505
571a64f73004565451453b6f,2X2A ,2X2,G112,On Notice,5/25/16,5/15/16,1576,1235,178.b4r,0," 1st Floor, b4r - The Fairgate Reno Adj, Private Entry, View- Greenbelt",5,11,1540,0,1540
571a64f73004565451453b6f,2X2A ,2X2,D212,On Notice,6/21/16,6/11/16,1540,1191,178.b3r,0," 2nd Floor, Appliances Premium, b3r - The Fairgate Reno Adj, Private Entry, Renovated 2 BD",75,10,1595,0,1595
571a64f73004565451453b6f,2X2A ,2X2,E111,On Notice,7/9/16,6/29/16,1585,1235,178.b4r,0," 1st Floor, b4r - The Fairgate Reno Adj, Private Entry",5,12,1505,0,1505
571a64f73004565451453b6f,2X2A ,2X2,E212,On Notice,7/20/16,7/10/16,1536,1191,178.b3r,0," 2nd Floor, b3r - The Fairgate Reno Adj, Private Entry",5,12,1510,0,1510
571a64f73004565451453b6f,3X2 ,2X2,,,,,,,,,,,,,,
571a64f73004565451453b6f,3X2 ,2X2,J207,Vacant Ready,4/22/16,4/8/16,1795,1359,178.c1r,0," 2nd Floor, c1r - The Glasgow Reno",0,11,1795,0,1795
571a64f73004565451453b70,1X1 ,1X1,,,,,,,,,,,,,,
571a64f73004565451453b70,1X1 ,1X1,C102,Vacant Ready,4/22/16,3/31/16,970,708,179.a1r,0," 1st Floor, View",35,12,1185,0,1185
571a64f73004565451453b70,1X1 ,1X1,E103,Vacant Unavailable,4/28/16,4/18/16,990,708,179.a1r,0," 1st Floor, Unique Floorplan, View",40,11,1190,0,1190
571a64f73004565451453b70,1X1 ,1X1,F302,On Notice,5/10/16,4/30/16,936,708,179.a1r,0," 3rd Floor, Unique Floorplan",15,11,1165,0,1165
571a64f73004565451453b70,2X1 ,2X1,,,,,,,,,,,,,,
571a64f73004565451453b70,2X1 ,2X1,B312,Vacant Unavailable,4/30/16,4/20/16,1602,814,179.b1r,0," 3rd Floor, Corner Unit, View",40,11,1345,0,1345
571a64f73004565451453b70,2X1 ,2X1,F203,Vacant Unavailable,4/30/16,4/20/16,995,814,179.b1r,0, 2nd Floor,0,11,1305,0,1305
571a64f73004565451453b70,2X1 ,2X1,A101,On Notice,5/11/16,5/1/16,1120,814,179.b1r,0," 1st Floor, Corner Unit, View",50,11,1375,0,1375
571a64f73004565451453b70,2X1 ,2X1,B101,On Notice,5/20/16,5/10/16,1070,814,179.b1r,0," 1st Floor, Corner Unit, View",50,11,1385,0,1385
571a64f73004565451453b70,2X2 ,2X2,,,,,,,,,,,,,,
571a64f73004565451453b70,2X2 ,2X2,F105,On Notice,5/10/16,4/30/16,1100,884,179.c1r,0," 1st Floor, ADA Accessible",-20,12,1315,0,1315
571a64f73004565451453b70,2X2 ,2X2,E312,On Notice,5/28/16,5/18/16,1330,884,179.c1r,0," 3rd Floor, Corner Unit, View",40,11,1390,0,1390
571a64f73004565451453b71,1X1 ,1X1,,,,,,,,,,,,,,
571a64f73004565451453b71,1X1 ,1X1,E302,On Notice,5/16/16,5/6/16,880,680,180.a1,0," a1 - 1 bdrm Classic Adj, Classic 1 BD, Fireplace, Top Floor, Vaulted Ceilings",-10,11,1175,0,1175
571a64f73004565451453b71,1X1 ,1X1,E201,On Notice,7/10/16,6/30/16,891,680,180.a1r,0, 2nd Floor,0,10,1150,0,1150
571a64f73004565451453b71,2X1 ,2X1,,,,,,,,,,,,,,
571a64f73004565451453b71,2X1 ,2X1,C206,Vacant Ready,4/22/16,2/29/16,975,925,180.b1r,0, 2nd Floor,0,11,1300,0,1300
571a64f73004565451453b71,2X1 ,2X1,C306,Vacant Unavailable,4/28/16,4/18/16,1025,925,180.b1r,0," b1r - 2 bdrm Reno Adj, Fireplace, Top Floor, Vaulted Ceilings",-25,10,1285,0,1285
571a64f73004565451453b71,2X2 ,2X1,,,,,,,,,,,,,,
571a64f73004565451453b71,2X2 ,2X1,B204,On Notice,5/8/16,4/28/16,1074,1026,180.c1r,0, 2nd Floor,0,10,1320,0,1320
571a64f73004565451453b71,2X2 ,2X1,A104,On Notice,5/10/16,4/30/16,1129,1026,180.c1r,0, 1st Floor,15,10,1340,0,1340
571a64f73004565451453b71,2X2 ,2X1,A304,On Notice,5/10/16,4/30/16,1060,1026,180.c1r,0," Fireplace, Top Floor, Vaulted Ceilings",15,10,1340,0,1340
571a64f73004565451453b72,1X1 ,1X1,,,,,,,,,,,,,,
571a64f73004565451453b72,1X1 ,1X1,C301,Vacant Ready,4/22/16,2/22/16,975,670,181.a1r,0," Renovated 1 BD, View-Greenbelt, Walk In Level",15,12,980,0,980
571a64f73004565451453b72,1X1 ,1X1,D403,Vacant Ready,4/22/16,1/27/16,882,670,181.a1r,0," Renovated 1 BD, View-Courtyard, Walk In Level",15,12,980,0,980
571a64f73004565451453b72,1X1 ,1X1,D428,Vacant Unavailable,4/22/16,4/7/16,1095,670,181.a1r,0, Renovated 1 BD,10,12,975,0,975
571a64f73004565451453b72,1X1 ,1X1,C305,On Notice,6/16/16,6/6/16,1125,670,181.a1r,0," a1r - Ascot Reno Adj, Renovated 1 BD, View-Greenbelt, Walk In Level",15,11,980,0,980
571a64f73004565451453b72,1X1 ,1X1,C326,On Notice,6/24/16,6/14/16,1024,670,181.a1r,0, Renovated 1 BD,10,11,975,0,975
571a64f73004565451453b72,1X1A ,1X1,,,,,,,,,,,,,,
571a64f73004565451453b72,1X1A ,1X1,B205,Vacant Ready,4/22/16,3/28/16,1505,750,181.a2r,0," a2r - Buckingham Reno Adj, Renovated 1 BD, View Courtyard, Walk In Level",40,12,1060,0,1060
571a64f73004565451453b72,1X1A ,1X1,B234,Vacant Unavailable,4/22/16,4/9/16,1080,750,181.a2r,0," a2r - Buckingham Reno Adj, Renovated 1 BD, Top Floor",35,12,1055,0,1055
571a64f73004565451453b72,1X1A ,1X1,B235,Vacant Ready,4/22/16,2/8/16,1445,750,181.a2r,0," a2r - Buckingham Reno Adj, Renovated 1 BD, Top Floor, Upgraded Appliances, View Courtyard",60,12,1080,0,1080
571a64f73004565451453b72,1X1A ,1X1,G727,Vacant Unavailable,4/22/16,4/11/16,1120,750,181.a2r,0," a2r - Buckingham Reno Adj, Renovated 1 BD",35,12,1055,0,1055
571a64f73004565451453b72,1X1A ,1X1,G732,Vacant Unavailable,4/22/16,4/7/16,1090,750,181.a2r,0," a2r - Buckingham Reno Adj, Renovated 1 BD, Top Floor",35,12,1055,0,1055
571a64f73004565451453b72,1X1A ,1X1,G726,Vacant Unavailable,4/23/16,4/6/16,975,750,181.a2r,0," a2r - Buckingham Reno Adj, Renovated 1 BD",35,12,1055,0,1055
571a64f73004565451453b72,1X1A ,1X1,B224,Vacant Unavailable,5/25/16,2/29/16,915,750,181.a2r,0," a2 - Buckingham Classic Adj, Renovated 1 BD",35,12,1055,0,1055
571a64f73004565451453b72,1X1A ,1X1,G703,On Notice,7/29/16,7/19/16,983,750,181.a2r,0," a2r - Buckingham Reno Adj, Renovated 1 BD, View-Courtyard, Walk In Level",40,12,1080,0,1080
571a64f73004565451453b72,2X2 ,2X2A,,,,,,,,,,,,,,
571a64f73004565451453b72,2X2 ,2X2A,H802,Vacant Ready,4/22/16,4/18/16,1466,923,181.b1r,0," b1r - Devonshire Reno Adj, Renovated 2 BD, View, Walk In Level",-60,12,1235,0,1235
